Zeit;Kanal A
(ms);(V)

-4,97473565;1,35165500
-4,97463165;1,35165500
-4,97452765;1,39825300
-4,97442365;1,39825300
-4,97431965;1,35165500
-4,97421565;1,39825300
-4,97411165;1,39825300
-4,97400765;1,39825300
-4,97390365;1,39825300
-4,97379965;1,39825300
-4,97369565;1,35165500
-4,97359165;1,35165500
-4,97348765;1,35165500
-4,97338365;1,39825300
-4,97327965;1,35165500
-4,97317565;1,39825300
-4,97307165;1,35165500
-4,97296765;1,39825300
-4,97286365;1,39825300
-4,97275965;1,39825300
-4,97265565;1,39825300
-4,97255165;1,39825300
-4,97244765;1,39825300
-4,97234365;1,35165500
-4,97223965;1,35165500
-4,97213565;1,39825300
-4,97203165;1,39825300
-4,97192765;1,39825300
-4,97182365;1,35165500
-4,97171965;1,39825300
-4,97161565;1,35165500
-4,97151165;1,35165500
-4,97140765;1,35165500
-4,97130365;1,39825300
-4,97119965;1,39825300
-4,97109565;1,39825300
-4,97099165;1,39825300
-4,97088765;1,39825300
-4,97078365;1,35165500
-4,97067965;1,39825300
-4,97057565;1,39825300
-4,97047165;1,39825300
-4,97036765;1,35165500
-4,97026365;1,39825300
-4,97015965;1,39825300
-4,97005565;1,39825300
-4,96995165;1,39825300
-4,96984765;1,39825300
-4,96974365;1,35165500
-4,96963965;1,39825300
-4,96953565;1,39825300
-4,96943165;1,39825300
-4,96932765;1,39825300
-4,96922365;1,39825300
-4,96911965;1,39825300
-4,96901565;1,39825300
-4,96891165;1,39825300
-4,96880765;1,39825300
-4,96870365;1,44485100
-4,96859965;1,39825300
-4,96849565;1,39825300
-4,96839165;1,39825300
-4,96828765;1,39825300
-4,96818365;1,39825300
-4,96807965;1,39825300
-4,96797565;1,39825300
-4,96787165;1,35165500
-4,96776765;1,39825300
-4,96766365;1,39825300
-4,96755965;1,39825300
-4,96745565;1,39825300
-4,96735165;1,39825300
-4,96724765;1,35165500
-4,96714365;1,39825300
-4,96703965;1,39825300
-4,96693565;1,35165500
-4,96683165;1,39825300
-4,96672765;1,39825300
-4,96662365;1,35165500
-4,96651965;1,39825300
-4,96641565;1,39825300
-4,96631165;1,39825300
-4,96620765;1,39825300
-4,96610365;1,35165500
-4,96599965;1,39825300
-4,96589565;1,39825300
-4,96579165;1,35165500
-4,96568765;1,39825300
-4,96558365;1,35165500
-4,96547965;1,35165500
-4,96537565;1,39825300
-4,96527165;1,39825300
-4,96516765;1,35165500
-4,96506365;1,39825300
-4,96495965;1,39825300
-4,96485565;1,35165500
-4,96475165;1,39825300
-4,96464765;1,39825300
-4,96454365;1,35165500
-4,96443965;1,39825300
-4,96433565;1,39825300
-4,96423165;1,39825300
-4,96412765;1,39825300
-4,96402365;1,39825300
-4,96391965;1,35165500
-4,96381565;1,39825300
-4,96371165;1,39825300
-4,96360765;1,35165500
-4,96350365;1,39825300
-4,96339965;1,39825300
-4,96329565;1,39825300
-4,96319165;1,39825300
-4,96308765;1,35165500
-4,96298365;1,39825300
-4,96287965;1,39825300
-4,96277565;1,39825300
-4,96267165;1,39825300
-4,96256765;1,35165500
-4,96246365;1,35165500
-4,96235965;1,35165500
-4,96225565;1,44485100
-4,96215165;1,39825300
-4,96204765;1,39825300
-4,96194365;1,35165500
-4,96183965;1,39825300
-4,96173565;1,35165500
-4,96163165;1,39825300
-4,96152765;1,39825300
-4,96142365;1,39825300
-4,96131965;1,44485100
-4,96121565;1,35165500
-4,96111165;1,35165500
-4,96100765;1,39825300
-4,96090365;1,39825300
-4,96079965;1,35165500
-4,96069565;1,39825300
-4,96059165;1,39825300
-4,96048765;1,39825300
-4,96038365;1,39825300
-4,96027965;1,39825300
-4,96017565;1,35165500
-4,96007165;1,35165500
-4,95996765;1,35165500
-4,95986365;1,39825300
