Hz,Phasenverschiebung in ms,Amplitude in mV
100,"3,2",12
200,"2,7",23
300,"2,2",31
400,"1,7",54
500,"1,7",119
700,"0,234",68
850,"0,233",42
1000,"0,222",35
1200,"0,2",30
1500,"0,15",29
1700,"0,147",30
2000,"0,12",34
3000,"0,13",42
4000,"0,15",41
5000,"0,145",27
6000,"0,025",18
10000,"0,046",23
